person	riksdagid	pob
http://www.wikidata.org/entity/Q4822657	0116084827614	http://www.wikidata.org/entity/Q93338
http://www.wikidata.org/entity/Q4887773	0463955388312	http://www.wikidata.org/entity/Q2338168
http://www.wikidata.org/entity/Q4891898	0928223863802	
http://www.wikidata.org/entity/Q4895693	0463606088610	
http://www.wikidata.org/entity/Q4898916	0547818628111	http://www.wikidata.org/entity/Q10676706
http://www.wikidata.org/entity/Q4916299	0185503778507	http://www.wikidata.org/entity/Q26476
http://www.wikidata.org/entity/Q4935892	0754692641206	http://www.wikidata.org/entity/Q178538
http://www.wikidata.org/entity/Q4936554	0333961113904	http://www.wikidata.org/entity/Q10510264
http://www.wikidata.org/entity/Q4938501	0372922430808	
http://www.wikidata.org/entity/Q4939220	0340854285007	
http://www.wikidata.org/entity/Q4939380	0708639889502	
http://www.wikidata.org/entity/Q4939382	0671241874717	http://www.wikidata.org/entity/Q10571243
http://www.wikidata.org/entity/Q4942814	0251174631818	http://www.wikidata.org/entity/Q10499113
http://www.wikidata.org/entity/Q4945406	0975144579503	
http://www.wikidata.org/entity/Q4946072	0697895317615	
http://www.wikidata.org/entity/Q4946153	0371147794304	
http://www.wikidata.org/entity/Q4948781	0836242026100	http://www.wikidata.org/entity/Q4973721
http://www.wikidata.org/entity/Q4949486	0313166627901	
http://www.wikidata.org/entity/Q4951500	0463244199702	
http://www.wikidata.org/entity/Q4952005	0855851906414	
http://www.wikidata.org/entity/Q4952607	0601988899907	
http://www.wikidata.org/entity/Q4953319	0395042560705	http://www.wikidata.org/entity/Q10601916
http://www.wikidata.org/entity/Q4953330	0478345475910	http://www.wikidata.org/entity/Q59093
http://www.wikidata.org/entity/Q4953552	0882989698904	
http://www.wikidata.org/entity/Q4956996	0719430958705	http://www.wikidata.org/entity/Q10436351
http://www.wikidata.org/entity/Q4957539	0642824296805	
http://www.wikidata.org/entity/Q4957716	0396368639900	http://www.wikidata.org/entity/Q10688953
http://www.wikidata.org/entity/Q4958448	0586461740105	http://www.wikidata.org/entity/Q2211
http://www.wikidata.org/entity/Q4958729	0731265898310	
http://www.wikidata.org/entity/Q4959972	0638497389621	http://www.wikidata.org/entity/Q10438435
http://www.wikidata.org/entity/Q4962331	084624777218	http://www.wikidata.org/entity/Q10604978
http://www.wikidata.org/entity/Q4964571	0692993567203	
http://www.wikidata.org/entity/Q4967115	0165732384110	http://www.wikidata.org/entity/Q305380
http://www.wikidata.org/entity/Q4967237	0783117374519	http://www.wikidata.org/entity/Q10709189
http://www.wikidata.org/entity/Q4968944	0619928872229	http://www.wikidata.org/entity/Q10710237
http://www.wikidata.org/entity/Q4969654	0807438844115	
http://www.wikidata.org/entity/Q4972535	0500493436208	http://www.wikidata.org/entity/Q10728127
http://www.wikidata.org/entity/Q4972645	0860429409414	http://www.wikidata.org/entity/Q10717966
http://www.wikidata.org/entity/Q4973713	039655712615	http://www.wikidata.org/entity/Q776830
http://www.wikidata.org/entity/Q4975896	0574724112206	
http://www.wikidata.org/entity/Q4976383	0235494367806	http://www.wikidata.org/entity/Q58455502
http://www.wikidata.org/entity/Q4979996	0186490041606	http://www.wikidata.org/entity/Q10728127
http://www.wikidata.org/entity/Q4980077	0636794729408	http://www.wikidata.org/entity/Q746839
http://www.wikidata.org/entity/Q4981243	0401289742306	
http://www.wikidata.org/entity/Q4982713	0631251014601	
http://www.wikidata.org/entity/Q4984124	0729734540102	http://www.wikidata.org/entity/Q10656469
http://www.wikidata.org/entity/Q4989817	0330714384902	
http://www.wikidata.org/entity/Q4990084	0814945477312	http://www.wikidata.org/entity/Q25286
http://www.wikidata.org/entity/Q4990215	0741225202024	http://www.wikidata.org/entity/Q113692
http://www.wikidata.org/entity/Q4990303	0673813596104	http://www.wikidata.org/entity/Q18290868
http://www.wikidata.org/entity/Q4990984	0105632258713	http://www.wikidata.org/entity/Q121932
http://www.wikidata.org/entity/Q5125017	0222234581210	
http://www.wikidata.org/entity/Q5388443	0391973624515	
http://www.wikidata.org/entity/Q5544145	0315172621102	
http://www.wikidata.org/entity/Q5553885	0777657837318	http://www.wikidata.org/entity/Q54771
http://www.wikidata.org/entity/Q5555011	0817420987900	
http://www.wikidata.org/entity/Q5555243	0320679739714	
http://www.wikidata.org/entity/Q5559631	0731092390302	
http://www.wikidata.org/entity/Q5562548	0817433088402	
http://www.wikidata.org/entity/Q5563661	0919710128803	
http://www.wikidata.org/entity/Q5578317	0381231495405	http://www.wikidata.org/entity/Q10612973
http://www.wikidata.org/entity/Q5581337	0956444284814	http://www.wikidata.org/entity/Q10531790
http://www.wikidata.org/entity/Q5588228	0982209946601	
http://www.wikidata.org/entity/Q5602918	027112189005	
http://www.wikidata.org/entity/Q5605493	0105797223918	http://www.wikidata.org/entity/Q54759
http://www.wikidata.org/entity/Q5616216	0991145731807	http://www.wikidata.org/entity/Q10612973
http://www.wikidata.org/entity/Q5624774	0560258077929	http://www.wikidata.org/entity/Q501785
http://www.wikidata.org/entity/Q5650744	0851966755011	
http://www.wikidata.org/entity/Q115564925	0533104339313	
http://www.wikidata.org/entity/Q887398	0554072553108	http://www.wikidata.org/entity/Q10531743
http://www.wikidata.org/entity/Q3358814	0113077554312	
http://www.wikidata.org/entity/Q3375804	0552248175312	http://www.wikidata.org/entity/Q3376036
http://www.wikidata.org/entity/Q4354054	0161597857912	http://www.wikidata.org/entity/Q115051831
http://www.wikidata.org/entity/Q4941267	028536711718	http://www.wikidata.org/entity/Q10669991
http://www.wikidata.org/entity/Q4951954	0333810623907	
http://www.wikidata.org/entity/Q4960997	0287864972117	http://www.wikidata.org/entity/Q10571845
http://www.wikidata.org/entity/Q4971741	0548314774911	http://www.wikidata.org/entity/Q25789
http://www.wikidata.org/entity/Q4982419	0181942435301	http://www.wikidata.org/entity/Q25287
http://www.wikidata.org/entity/Q5891398	0229760896014	http://www.wikidata.org/entity/Q18290013
http://www.wikidata.org/entity/Q5969402	0969219657805	
http://www.wikidata.org/entity/Q6009605	0177639310807	
http://www.wikidata.org/entity/Q6010314	0194731575606	
http://www.wikidata.org/entity/Q6011783	088327461512	http://www.wikidata.org/entity/Q54352
http://www.wikidata.org/entity/Q6019726	053444143093	http://www.wikidata.org/entity/Q10728271
http://www.wikidata.org/entity/Q6024765	0440225263920	http://www.wikidata.org/entity/Q10553938
http://www.wikidata.org/entity/Q6032157	0548843588006	http://www.wikidata.org/entity/Q2283709
http://www.wikidata.org/entity/Q6043789	0758217192418	http://www.wikidata.org/entity/Q10718416
http://www.wikidata.org/entity/Q6079361	0506857137319	
http://www.wikidata.org/entity/Q6089393	0656461477604	
http://www.wikidata.org/entity/Q6091566	0900815713419	http://www.wikidata.org/entity/Q10543952
http://www.wikidata.org/entity/Q6093311	0564232053610	
http://www.wikidata.org/entity/Q6146893	0868028415991	http://www.wikidata.org/entity/Q3433770
http://www.wikidata.org/entity/Q6161344	0805469037201	http://www.wikidata.org/entity/Q57407324
http://www.wikidata.org/entity/Q6169540	0210198640127	http://www.wikidata.org/entity/Q10531790
http://www.wikidata.org/entity/Q6171719	0830987619206	
http://www.wikidata.org/entity/Q6175674	0870877750104	
http://www.wikidata.org/entity/Q6178341	0644864705800	
http://www.wikidata.org/entity/Q6178849	0916454726102	
http://www.wikidata.org/entity/Q6179083	0891897903314	http://www.wikidata.org/entity/Q10728354
http://www.wikidata.org/entity/Q6186253	0667211637804	http://www.wikidata.org/entity/Q10718223
http://www.wikidata.org/entity/Q6187608	0718937995813	http://www.wikidata.org/entity/Q10700567
http://www.wikidata.org/entity/Q6190700	0737366622405	
http://www.wikidata.org/entity/Q6193321	0212469298402	
http://www.wikidata.org/entity/Q6197506	0526874284718	http://www.wikidata.org/entity/Q10562781
http://www.wikidata.org/entity/Q6198076	094134653807	http://www.wikidata.org/entity/Q10688515
http://www.wikidata.org/entity/Q6198732	0274590687101	
http://www.wikidata.org/entity/Q6199173	0247000811207	
http://www.wikidata.org/entity/Q6209093	0879782396219	http://www.wikidata.org/entity/Q10681131
http://www.wikidata.org/entity/Q6213461	0213691891904	
http://www.wikidata.org/entity/Q6219067	0413418300203	
http://www.wikidata.org/entity/Q6229070	0587985033012	
http://www.wikidata.org/entity/Q6234203	0700714424203	
http://www.wikidata.org/entity/Q6244944	0282644582407	
http://www.wikidata.org/entity/Q6255521	0677738818613	http://www.wikidata.org/entity/Q10726180
http://www.wikidata.org/entity/Q6255984	0653617472000	
http://www.wikidata.org/entity/Q6256695	0368245926011	
http://www.wikidata.org/entity/Q10578332	0456066032422	http://www.wikidata.org/entity/Q2007208
http://www.wikidata.org/entity/Q18202365	0604811710522	http://www.wikidata.org/entity/Q11057477
http://www.wikidata.org/entity/Q18202405	0655028250417	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q18202412	0652497579621	http://www.wikidata.org/entity/Q10714734
